Name,Nation,Club,Height,Weight,Age,Market Value,Jersey Number,Position,Foot,Link,Pertandingan - Total bermain,Pertandingan - Dimulai,Pertandingan - Menit per tanding,Menyerang - Gol,Menyerang - Frekuensi gol,Menyerang - Tujuan lapangan,Menyerang - Tembakan per tanding,Lewat - Assist,Lewat - Lewat,Lewat - Umpan kunci,Lewat - Passing akurat,Lewat - Asosiasi lama lulus,Lewat - Biografi akurat,Bertahan - Intersepsi per tanding,Bertahan - Tekel per tanding,Bertahan - Sapuan per tanding,Lainnya (rata-rata) - Sukses luar biasa,Lainnya (rata-rata) - Pelanggaran,Lainnya (rata-rata) - Dilanggar,Lainnya (rata-rata) - Offside,Hukuman kartu - Kuning,Hukuman kartu - Dua kuning ke merah sebuah,Hukuman kartu - Kartu merah
Beckham Nugraha,Indonesia,"Indonesia
Persib Bandung",173,61,23,0.275M,7,F,kanan,https://www.aiscore.com/id/player-beckham-nugraha/wv78xijxd8yh2kr,25,18,59.7,6,248.7,0.2,0.2,3,3,3,0.1 (100.0%),0,0,0.0,0.0,0.0,0,0.0,0.0,0,5,0,0
Mailson Lima Duarte Lopes,Cape Verde Islands,"Cape Verde Islands
Persib Bandung",178,-,30,0.25M,94,F,Kiri dan kanan,https://www.aiscore.com/id/player-mailson-lima-duarte-lopes/jek33iy9yji2ko2,13,5,33.1,0,,0.0,0.0,1,1,1,0.1 (100.0%),0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0
Ciro Alves,Brasil,"Brasil
Persib Bandung",175,72,36,0.25M,77,F,kanan,https://www.aiscore.com/id/player-ciro-alves/ezk96iyll8gaekn,29,29,86.3,6,417.3,0.2,0.2,12,12,12,0.4 (100.0%),0,0,0.0,0.0,0.0,0,0.0,0.0,0,2,0,0
