Link Pemain,Att,Nama,Tec,Tac,Def,Cre,Total Bermain,Starting Eleven,Total Menit,Rating
https://www.sofascore.com/id/pemain/tyronne/143368,62,Tyronne,65,41,36,53,28,26,2479,7.46
https://www.sofascore.com/id/pemain/ciro-alves/47705,65,Ciro Alves,76,42,33,54,30,30,2700,7.35
https://www.sofascore.com/id/pemain/tyronne/143368,62,Tyronne,65,41,36,53,28,26,2479,7.46
https://www.sofascore.com/id/pemain/ciro-alves/47705,65,Ciro Alves,76,42,33,54,30,30,2700,7.35
