Link Pemain,Att,Nama,Tec,Tac,Def,Cre,Total Bermain,Starting Eleven,Total Menit
https://www.sofascore.com/id/football/player/dimas-drajad/1567998,58,Dimas Drajad,59,48,35,45,14,8,766
https://www.sofascore.com/id/football/player/ciro-alves/47705,64,Ciro Alves,75,42,33,53,30,30,2700
