Link Pemain,Att,Nama,Tec,Tac,Def,Cre,Total Bermain,Starting Eleven,Total Menit
https://www.sofascore.com/id/football/player/septian-bagaskara/1021948,56,Septian Bagaskara,52,49,40,34,31,8,1199
https://www.sofascore.com/id/football/player/alex/1104491,73,Alex,70,53,28,42,25,25,2250
